type,interval_seconds
all_interactions,3.588
all_interactions,0.878
all_interactions,1.997
all_interactions,5.702
all_interactions,1.61
all_interactions,0.391
all_interactions,0.179
all_interactions,0.742
all_interactions,0.562
all_interactions,1.347
all_interactions,1.576
all_interactions,1.606
all_interactions,0.811
all_interactions,4.625
all_interactions,2.656
all_interactions,3.88
all_interactions,1.308
all_interactions,1.575
all_interactions,0.833
all_interactions,0.663
all_interactions,8.746
all_interactions,4.176
all_interactions,1.433
all_interactions,1.465
all_interactions,1.478
all_interactions,16.162
all_interactions,3.329
all_interactions,1.27
all_interactions,0.338
all_interactions,2.908
all_interactions,1.084
all_interactions,0.962
all_interactions,0.327
all_interactions,2.552
all_interactions,1.363
all_interactions,0.182
all_interactions,0.592
all_interactions,0.63
all_interactions,0.832
all_interactions,1.597
all_interactions,0.853
all_interactions,0.65
all_interactions,1.176
all_interactions,0.629
all_interactions,1.682
all_interactions,0.841
all_interactions,27.457
all_interactions,4.361
all_interactions,1.758
all_interactions,1.433
all_interactions,1.217
all_interactions,2.417
all_interactions,0.069
all_interactions,30.013
all_interactions,0.719
all_interactions,2.067
all_interactions,1.453
all_interactions,1.052
all_interactions,1.215
all_interactions,2.687
all_interactions,0.887
all_interactions,2.336
all_interactions,8.066
all_interactions,9.568
all_interactions,4.066
all_interactions,0.59
all_interactions,8.826
all_interactions,0.8
all_interactions,1.166
all_interactions,14.863
all_interactions,7.01
all_interactions,1.557
all_interactions,0.754
all_interactions,2.13
all_interactions,0.525
all_interactions,2.322
all_interactions,2.681
all_interactions,0.842
all_interactions,5.617
all_interactions,1.854
all_interactions,1.375
all_interactions,0.722
all_interactions,0.594
all_interactions,0.694
all_interactions,3.493
all_interactions,0.963
all_interactions,12.48
all_interactions,1.698
all_interactions,2.19
all_interactions,4.811
all_interactions,0.631
all_interactions,2.507
all_interactions,1.667
all_interactions,3.884
all_interactions,2.202
all_interactions,10.624
all_interactions,2.886
all_interactions,1.675
all_interactions,0.506
all_interactions,0.565
all_interactions,1.027
all_interactions,1.745
all_interactions,2.648
all_interactions,20.041
all_interactions,0.666
all_interactions,2.326
all_interactions,21.305
all_interactions,0.169
all_interactions,2.024
all_interactions,2.33
all_interactions,0.094
all_interactions,1.348
all_interactions,1.195
all_interactions,0.959
all_interactions,1.791
all_interactions,10.548
all_interactions,1.684
all_interactions,3.323
all_interactions,2.161
all_interactions,1.407
all_interactions,1.215
all_interactions,7.492
all_interactions,0.657
all_interactions,0.764
all_interactions,6.627
all_interactions,3.543
all_interactions,2.019
all_interactions,6.099
all_interactions,0.55
all_interactions,6.808
all_interactions,1.207
all_interactions,0.593
all_interactions,0.693
all_interactions,2.537
all_interactions,0.809
all_interactions,0.868
all_interactions,1.166
all_interactions,4.256
all_interactions,4.291
all_interactions,6.052
all_interactions,2.464
all_interactions,1.77
all_interactions,0.149
all_interactions,0.648
all_interactions,1.053
all_interactions,4.954
all_interactions,2.887
all_interactions,3.142
all_interactions,0.6
all_interactions,1.643
all_interactions,1.718
all_interactions,0.06
all_interactions,0.436
all_interactions,0.634
all_interactions,4.505
all_interactions,3.654
all_interactions,4.04
all_interactions,1.54
all_interactions,25.49
all_interactions,8.752
all_interactions,6.703
all_interactions,0.683
all_interactions,0.906
all_interactions,0.976
all_interactions,0.661
all_interactions,1.596
all_interactions,2.483
all_interactions,4.451
all_interactions,0.883
all_interactions,10.936
all_interactions,1.365
all_interactions,1.833
all_interactions,6.201
all_interactions,2.566
all_interactions,0.867
all_interactions,0.956
all_interactions,1.197
all_interactions,2.731
all_interactions,0.683
all_interactions,2.093
all_interactions,1.908
all_interactions,1.958
all_interactions,1.815
all_interactions,0.59
all_interactions,2.668
all_interactions,2.058
all_interactions,1.829
all_interactions,0.235
all_interactions,1.423
all_interactions,0.608
all_interactions,0.826
all_interactions,3.55
all_interactions,2.692
all_interactions,2.15
all_interactions,1.035
all_interactions,0.622
all_interactions,0.851
all_interactions,1.804
all_interactions,0.675
all_interactions,0.525
all_interactions,3.926
all_interactions,0.935
all_interactions,0.969
all_interactions,1.492
all_interactions,0.228
all_interactions,1.5
all_interactions,0.558
all_interactions,3.413
all_interactions,1.422
all_interactions,1.321
all_interactions,30.822
all_interactions,0.524
all_interactions,3.862
all_interactions,0.637
all_interactions,0.643
all_interactions,0.65
all_interactions,8.033
all_interactions,14.773
all_interactions,7.032
all_interactions,1.169
all_interactions,0.613
all_interactions,5.281
all_interactions,1.617
all_interactions,0.883
all_interactions,0.648
all_interactions,0.611
all_interactions,1.242
all_interactions,0.966
all_interactions,1.688
all_interactions,1.09
all_interactions,1.372
all_interactions,1.133
all_interactions,5.226
all_interactions,2.732
all_interactions,2.126
all_interactions,9.332
all_interactions,1.117
all_interactions,1.533
all_interactions,0.683
all_interactions,0.716
all_interactions,0.926
all_interactions,0.987
all_interactions,0.624
all_interactions,0.58
all_interactions,3.517
all_interactions,7.484
all_interactions,0.616
all_interactions,1.536
all_interactions,2.539
all_interactions,1.578
all_interactions,1.663
all_interactions,1.092
all_interactions,3.041
all_interactions,1.97
all_interactions,1.031
all_interactions,0.884
all_interactions,0.783
all_interactions,1.271
all_interactions,0.896
all_interactions,1.307
all_interactions,4.738
all_interactions,0.722
all_interactions,0.882
all_interactions,1.3
all_interactions,0.683
all_interactions,1.903
all_interactions,1.336
all_interactions,0.069
all_interactions,1.928
all_interactions,1.23
all_interactions,1.356
all_interactions,1.179
all_interactions,1.933
all_interactions,1.201
all_interactions,2.823
all_interactions,1.033
all_interactions,3.364
all_interactions,1.495
all_interactions,3.93
all_interactions,1.906
all_interactions,2.32
all_interactions,0.197
all_interactions,1.433
all_interactions,0.35
all_interactions,1.273
all_interactions,1.031
all_interactions,1.184
